,units,param_type
2835,kg/m^2 (kilogram(s)/square meter),Mean
2836,Percentage of Glycosylated Haemoglobin,Mean
2837,kilograms per meter squared (kg/m^2),Mean
2838,log10 copies/mL),Mean
2839,sex partners,Median
2840,perecent of predicted meters,Mean
2841,percentage of capacity,Mean
2842,percent glycosylated hemoglobin,Median
2843,beats/min,Median
2844,Prescription medications,Mean
2845,kg/meter (m)^2,Mean
2846,IU/kg/day,Mean
2847,mmHg,Mean
2848,central venous access devices,Median
2849,Laparoscopic renal surgery,Number
2850,Percentage of complete utterances,Mean
2851,parts per million (ppm),Mean
2852,µg/ml,Mean
2853,nmol/l,Number
2854,events per person year,Mean
2855,ml/dl*min,Mean
2856,Age,Mean
2857,log10 IU/mL,Median
2858,# of Participants,Number
2859,tender joints,Mean
2860,Pg/ml,Mean
2861,percentage of osteoid surface,Mean
2862,percentage of total amount of blood,Mean
2863,Number of correct trials,Mean
2864,Particpants,Number
2865,percent HbA1c,Mean
2866,litres per second,Mean
2867,inches,Mean
2868,correct responses per minute,Mean
2869,milligrams/deciliter (mg/dL),Mean
2870,Distance in meters,Mean
2871,lipid-lowering medications,Mean
2872,errors,Mean
2873,Percent body fat,Mean
2874,age in postmenstrual weeks at birth,Mean
2875,log 10 (cells/mL),Mean
2876,ml/min/mmHg,Mean
2877,Nanometer (nm),Median
2878,Ejection Fraction (%),Mean
2879,z-scores,Mean
2880,L (Liter),Mean
2881,mean,Mean
2882,Points of PANSS score,Mean
2883,GAA sequence repetitions,Median
2884,milliseconds,Mean
2885,t-score,Mean
2886,Cohabitants,Mean
2887,IQ units (typical range 40-160).,Mean
2888,Pregnant women,Number
2889,percent days abstinent,Mean
2890,microaneurysms/month,Mean
2891,Natural Log of Scores on a Scale,Mean
2892,(Liter/minute)/square meter([L/min]/m^2),Mean
2893,percent hair loss,Mean
2894,microliters/min,Mean
2895,condomless anal sex acts,Mean
2896,ml/min/1.73 m^2,Mean
2897,g/ml,Median
2898,nanogram per milliliter,Median
2899,Hemoglobin A1c percentage,Mean
2900,Number of antral follicles,Mean
2901,degrees Celcius (°C),Mean
2902,percent predicted,Median
2903,Antihypertensive Drug Classes,Mean
2904,responses,Number
2905,(kg)/m^2,Mean
2906,Cesarean deliveries,Median
2907,% of insulin sensitivity,Mean
2908,% Of Resting,Mean
2909,grams/cm2,Mean
2910,U/kg,Mean
2911,l,Median
2912,acid refluxes per day,Mean
2913,beats per ng/kg/min,Mean
2914,cells per mm3,Median
2915,actinic keratosis lesions,Mean
2916,indications,Number
2917,number of prior therapies,Mean
2918,Puffs,Mean
2919,log PSA/month,Mean
2920,SpO2 (percent saturation),Mean
2921,mU per Litre,Mean
2922,Age (yrs),Mean
2923,% of glycated hemoglobin,Mean
2924,percentage points of LVEF,Mean
2925,mg/mL,Median
2926,microgram per liter,Median
2927,mmol/mmol,Mean
2928,copies/ml,Median
2929,Lps/cmH2O/L,Mean
2930,mg/L,Median
2931,Dosage (mg),Mean
2932,mg/ml,Mean
2933,letters read,Mean
2934,score on a scale,Number
2935,millilitres,Median
2936,Volts,Median
2937,scores,Mean
2938,cells per uL,Median
2939,Kilogram (kg),Mean
2940,% of Hemoglobin,Mean
2941,meters per second,Mean
2942,Count of particpants,Number
2943,percentage change in wound area,Mean
2944,number of unique foods,Mean
2945,percent of sleep,Median
2946,Number with self-reported low adherence,Number
2947,mcIU/mL,Mean
2948,Score on a scale,Mean
2949,mmol/l,Median
2950,procedures,Number
2951,U/mL^2,Mean
2952,cells/mL,Mean
2953,°C,Mean
2954,mL/min/m2,Mean
2955,(Value of $100) * (days until receipt),Mean
2956,Percentage correct,Median
2957,percentage of genotype,Mean
2958,Mexico,Number
2959,proportion ejection fraction,Median
2960,Acts,Median
2961,kg/mʌ2,Mean
2962,hairs/cm^2,Mean
2963,Vanderbilt Parent Rating Scale Score,Mean
2964,BMI (kg/m∧2 ),Median
2965,Milligrams,Mean
2966,Hot Flushes,Mean
2967,cm^3,Mean
2968,BMI (kg/m^2),Median
2969,Alcohol Composite Score,Mean
2970,Percent change,Mean
2971,watt,Mean
2972,copies per mL,Median
2973,Number of guns owned,Mean
2974,nanograms per milliliter,Median
2975,uses/week,Mean
2976,number of lifetime augmentation trials,Mean
2977,Percentage (%),Mean
2978,participants in ITT population,Number
2979,Days per Month,Mean
2980,% of glycated hemoglobin (A1c),Mean
2981,Degrees,Mean
2982,kg.m-2,Mean
2983,Percentage of red blood cells in blood,Median
2984,percentage of cells at study entry,Median
2985,(x 10'{super 9}/L),Mean
2986,LVEF (%),Mean
2987,Density units of macular pigment,Mean
2988,hubs,Number
2989,Number of Letters,Median
2990,hits/day,Mean
2991,checks per day,Mean
2992,partners,Median
2993,Centimeteres,Mean
2994,grams per deciliter (g/dL),Mean
2995,cc,Median
2996,log(Percentage),Geometric Mean
2997,cells/μl,Median
2998,prescribing providers,Mean
2999,grade level in years,Mean
3000,minutes of physical activity,Mean
3001,mL/min/1.73m2,Mean
3002,milligrams per liter (mg/ L),Median
3003,Number of words,Mean
3004,SUVR,Mean
3005,Percent blood ejected,Mean
3006,U/day,Median
3007,decibel hearing level (dB HL),Mean
3008,Cigarettes Smoked per Day,Mean
3009,Ratio %,Mean
3010,1000 cells/mm^3,Mean
3011,Years (yr),Mean
3012,pH value,Mean
3013,degrees Celsius,Median
3014,percent of LVEF,Mean
3015,papules and pustules,Median
3016,Scalar value b/w 0-1,Mean
3017,ratio (FEV1/FVC),Mean
3018,uIU/mL,Median
3019,Microgram (μg)/mL,Mean
3020,mm²,Mean
3021,NIHSS score range: 0 to 42,Median
3022,Metres (m),Mean
3023,Number of Reported Vaginal Deliveries,Mean
3024,mm/hr,Median
3025,Kilograms per square meter,Mean
3026,Kilograms (Kg),Mean
3027,Years,Mean
3028,CTC per milliliter,Mean
3029,Unitless,Mean
3030,Meter,Mean
3031,kilocalories per day,Mean
3032,events per hour,Mean
3033,metastatic Sites,Mean
3034,days,Median
3035,movements per week,Mean
3036,Log10 IU/ml,Median
3037,number of encounters,Number
3038,milliseconds (ms),Mean
3039,grams per square centimeter,Mean
3040,right or left second molar,Count of Units
3041,percentage mortality risk,Median
3042,number of encounters,Mean
3043,category,Number
3044,mU/L,Median
3045,kilograms (kg)/meters squared (m^2),Mean
3046,µg/day,Mean
3047,Liters,Mean
3048,investigators,Number
3049,nm,Mean
3050,milliliters/minute per 1.73 m^2,Mean
3051,Level of tongue coating,Median
3052,kg m^-2,Median
3053,L/min/m^2,Median
3054,psoriasis severity index,Mean
3055,g/cm3,Mean
3056,International Units/ml,Geometric Mean
3057,viable pregnancies,Mean
3058,nmol BCE/mmol-CRE,Mean
3059,Facilities,Count of Units
3060,Kg/cm2,Mean
3061,g GAG/g creatinine,Mean
3062,Millimeter per hour (mm/h),Mean
3063,"mmHg, systolic",Mean
3064,Number of nightmares per night,Mean
3065,Kilograms/square meters,Mean
3066,mL/min/1.73m²,Mean
3067,cubic milimeters,Mean
3068,In,Mean
3069,log (seconds),Mean
3070,Percentage of all scheduled participants,Number
3071,gestational age months,Median
3072,ROM Percent of Predicted,Number
3073,pmol/l,Median
3074,Kilocalories,Mean
3075,weight in kg divided by length in m2,Mean
3076,Teeth,Mean
3077,percent of red blood cells in blood,Mean
3078,cmH20,Mean
3079,cm˄3,Mean
3080,mL/mmHg/min,Median
3081,milligrams (mg),Median
3082,Voids per day,Mean
3083,ETDRS letter score,Mean
3084,Episodes per 24 hours,Median
3085,Percent of predicted mortality,Mean
3086,millimeter,Mean
3087,antidiabetic medications,Mean
3088,units on scale 0-8,Mean
3089,medications,Mean
3090,Kg,Mean
3091,Number of live births,Mean
3092,g/g,Mean
3093,percentage of central pulse pressure,Mean
3094,units on a 0-10 scale,Median
3095,percentage of predicted distance,Mean
3096,log10c/mL,Median
3097,milligram/deciliter,Median
3098,milliliter per minute,Mean
3099,mins,Mean
3100,units on a scale of 0 to 10,Mean
3101,"unitless, per week",Median
3102,Body mass index z-scores,Mean
3103,deliveries,Median
3104,mg per day,Mean
3105,Scale 0 to 10,Mean
3106,bpm (beats per minute),Mean
3107,Pack Years,Median
3108,mL/h,Median
3109,Pack Year,Mean
3110,ug/ml,Mean
3111,% (percentage of minutes of stage 3),Mean
3112,Puffs/7 days,Mean
3113,percentage of surface,Mean
3114,Correct answers,Mean
3115,pack-years,Mean
3116,percent of toenail,Mean
3117,beats per minute (BPM),Mean
3118,percentage,Mean
3119,log₁₀[TCID₅₀/mL],Mean
3120,(kg/m²),Mean
3121,ng/mmol,Mean
3122,wpm,Mean
3123,rating score 0.2 to 1,Mean
3124,Scores,Mean
3125,mL/kg/min of oxygen,Mean
3126,Microns,Number
3127,unprotected partners,Least Squares Mean
3128,prescriptions per day,Mean
3129,gram per meter^2 (g/m^2),Mean
3130,log10 CFU/g stool,Mean
3131,Proportion of Binge Drinking Days,Mean
3132,Kcal/week,Mean
3133,years OF AGE,Mean
3134,mg/week,Mean
3135,ml/min/1.73m3,Mean
3136,gram/gram,Mean
3137,K/cu mm,Mean
3138,nanograms per deciliter,Median
3139,cal/g stool,Mean
3140,Checks per day,Mean
3141,units/mL,Number
3142,kilograms / square meter,Mean
3143,raises,Mean
3144,Years,Number
3145,kg/m2*,Mean
3146,kg/sq.m,Mean
3147,Seconds of Arc,Median
3148,Injections,Mean
3149,percentage of ejection fraction,Mean
3150,(BEATS/MIN),Mean
3151,dyn*s*cm^-5,Mean
3152,AFB/field,Median
3153,pillows,Median
3154,percent probability,Mean
3155,Patient facial actinic keratosis count,Mean
3156,hairs/cm2,Mean
3157,MFI,Mean
3158,mol mol-1,Mean
3159,liters,Mean
3160,count/mm^3,Mean
3161,sessions,Median
3162,percent of obstruction,Mean
3163,mg/g,Median
3164,mg/mIU,Mean
3165,number of attacks per day,Mean
3166,number of current augmentation trials,Mean
3167,METERS,Mean
3168,ER visits,Mean
3169,Percent of enhanced myocardium,Mean
3170,steps/day,Mean
3171,CD4%,Mean
3172,microIU/mL,Mean
3173,percentage of total hemoglobin,Mean
3174,mM (millimolar),Mean
3175,vertebral lengths,Mean
3176,percentage of maximum change,Median
3177,Number of regimens,Median
3178,percent of Non-white participants,Number
3179,percentage of heavy drinking days,Mean
3180,seconds (s),Mean
3181,Solid organs procured,Mean
3182,IU,Mean
3183,polyps,Mean
3184,mm,Mean
3185,people,Mean
3186,number of organ dysfunctions,Mean
3187,hrs/day,Mean
3188,Celsius,Mean
3189,Number of Joints,Mean
3190,participants with diabetes,Number
3191,cm of water,Mean
3192,weeks' gestational age,Mean
3193,EPG,Geometric Mean
3194,number of AEDs,Mean
3195,Standard Uptake Value Ratio (SUVR),Mean
3196,degree of angle,Mean
3197,Apnea-hypopnea index (AHI) events/hour,Mean
3198,Q-LES-Q Score,Mean
3199,Milliliters,Median
3200,percentage of CD4 cells,Mean
3201,Percent HbA1c,Median
3202,milliliter,Mean
3203,Norm-Based Standardization Score,Mean
3204,Kilogram/square meter,Mean
3205,mL/Kg/minute,Mean
3206,line days,Mean
3207,Percent of gylcosylated hemoglobin,Mean
3208,Infant Age (Days),Mean
3209,Max % predicted,Mean
3210,kilogram per square metre (kg/m^2),Mean
3211,Cup shape measure,Mean
3212,KIMS Score,Mean
3213,kgf,Mean
3214,days since filter placement,Mean
3215,Cells/mm3,Mean
3216,kUa/L,Mean
3217,CAG repeats,Mean
3218,LSDSR Score,Mean
3219,total number of drinks in the week prior,Mean
3220,percent of impairment of activity,Mean
3221,lines of therapies,Median
3222,units on a scale (0-43),Mean
3223,Scores on Scale,Mean
3224,Percentage of CD38 expression,Mean
3225,p falciparum /mcl,Median
3226,units on a scale (Scale 2 - 10),Mean
3227,Hospitalizations,Median
3228,Pulse per minute,Mean
3229,Percentage of the body affected,Mean
3230,post menstrual weeks,Median
3231,percent saturation mixed venous oxygen,Mean
3232,milligram per liter (mg/L),Mean
3233,percent of proximal ref. vessel diameter,Mean
3234,Percentage of body surface area,Mean
3235,participants 8,Number
3236,10^9/L,Median
3237,mmol/mol,Median
3238,living children,Mean
3239,log 10 IU/mL,Mean
3240,Number of vessels,Mean
3241,g/l,Mean
3242,cm,Median
3243,percentage of peripheral capillary O2,Median
3244,HRU/Wood units,Mean
3245,analog scale units,Mean
3246,cmH2O,Mean
3247,points on a scale,Median
3248,mg/cm^3,Mean
3249,g/cm^2,Mean
3250,Sample number,Median
3251,percentage of hip circumference,Mean
3252,Vertebra levels,Mean
3253,Percentage of Expected Mortality,Mean
3254,percent ejection fraction,Mean
3255,prior ITP treatments,Median
3256,kilogram per square meter (kg/m˄2),Mean
3257,Minutes Mod/Vig physical activity/day,Mean
3258,standard drinks/week,Mean
3259,scores on a a scale,Mean
3260,times voided,Median
3261,Standardized Difference Scores,Mean
3262,Kg/meter^2,Mean
3263,msec,Mean
3264,participants with ascites,Number
3265,Cigarettes smoked/day,Mean
3266,Torr,Median
3267,Units/kg/day,Mean
3268,Standard Deviation Score,Mean
3269,Inflammatory lesions,Mean
3270,milligram (mg) per day,Mean
3271,Millimoles per litre (mmol/L),Mean
3272,participnts,Number
3273,Prescribed medications,Mean
3274,ears,Number
3275,(mm),Mean
3276,tooth,Count of Units
3277,nanogram/milliliter,Median
3278,Log10(cp/ml),Median
3279,number of episodes in last 24 months,Median
3280,day,Median
3281,Centimetres,Mean
3282,Kilograms per meters squared (kg/m^2),Mean
3283,mm-Hg,Mean
3284,mOsmo/L,Mean
3285,ml,Geometric Mean
3286,percent of white blood cells,Mean
3287,millimolar inorganic phosphate,Mean
3288,Percentage Saturation,Mean
3289,kJ/day,Mean
3290,copies/ml,Mean
3291,kg/cm2,Mean
3292,copies/mm^3,Mean
3293,Days per month,Mean
3294,Percent BSA affected,Mean
3295,Micturation episodes per 24 hour period,Mean
3296,kiliograms,Mean
3297,percentage of instances,Number
3298,milliliter (mL)/Minute (min)/1.73m^2,Mean
3299,Scores on PIQoL-AD Scale,Mean
3300,Regimens,Median
3301,Number of episodes,Mean
3302,Percent ejection fraction,Mean
3303,Nanomole(nmol)/min/mL,Mean
3304,Liters per minute,Median
3305,SDS Score,Mean
3306,pg/ml,Mean
3307,EU/mL,Median
3308,numbers of relapses,Mean
3309,Kilograms (kg),Median
3310,kg/meter(m)^2,Mean
3311,number of ulcers,Mean
3312,m2,Mean
3313,blood samples,Number
3314,ng/ml,Mean
3315,diameter (mm),Mean
3316,Kilograms (kg)/ meter (m)^2,Mean
3317,log10 IU/ml,Median
3318,Z-Score,Mean
3319,molar teeth,Number
3320,1/seconds,Median
3321,mU/liter,Median
3322,milligram (mg),Mean
3323,percemt,Mean
3324,LogMAR,Log Mean
3325,Percentage of HbA1C,Mean
3326,mGy,Median
3327,U/mL,Median
3328,hot flashes,Mean
3329,nmol/l adjusted for insulin sensitivity,Geometric Mean
3330,recurrences,Median
3331,Score on a Scale*hour,Mean
3332,number,Number
3333,AQLQ Score,Mean
3334,hour*nanogram per milliliter (h*ng/mL),Mean
3335,Number chronic conditions,Mean
3336,Kilograms per meter squares (kg/m^2),Mean
3337,mg/mg,Mean
3338,respiratory events/hour,Mean
3339,ml/min * 1.73m²,Median
3340,Comorbidities,Mean
3341,Sessions in next month,Mean
3342,Kg/m/m,Mean
3343,Gram per square centimeter (g/cm2),Mean
3344,Percent Change from Baseline,Mean
3345,log10(copies/mL),Median
3346,micro mole per liter (mcmol/L),Mean
3347,binge eating days/week,Mean
3348,Children's centres,Count of Units
3349,Number of Migraine days,Mean
3350,letter score,Mean
3351,Milligrams per deciliter,Mean
3352,µIU/ml,Mean
3353,pounds,Mean
3354,number of months,Mean
3355,milligram,Mean
3356,Hour,Mean
3357,Percentage scale,Mean
3358,oC,Mean
3359,cells per mm^3,Median
3360,Medication Classes,Median
3361,sex partners,Mean
3362,Health problems,Mean
3363,x 10^3/mm^3,Median
3364,metabolic equivalents,Mean
3365,number of times,Mean
3366,equivalents per kg,Mean
3367,participants receiving this prior tx,Number
3368,log10 ratio,Median
3369,Percentage of Predicted,Mean
3370,(g/m^2.7),Mean
3371,mcg/day (micrograms/day),Mean
3372,servings of fruit per day,Mean
3373,repetitions,Mean
3374,% IgE,Median
3375,NEI VFQ-25 score,Mean
3376,Eos/hpf,Mean
3377,% Predicted,Mean
3378,Injury Severity Score,Mean
3379,mU/L,Mean
3380,milliliters per minute,Median
3381,Main partners,Median
3382,Pmol/dL,Mean
3383,per cent,Mean
3384,HOMA score,Mean
3385,percentage of volume in liters,Mean
3386,um,Median
3387,Percentile,Median
3388,number of chemotherapy regimens,Median
3389,z-score units,Mean
3390,DR study eyes for each level,Number
3391,Millimeter(mm) of mercury(Hg),Mean
3392,Weeks,Mean
3393,centimeter,Number
3394,US$,Median
3395,unique baseline medications,Number
3396,micro-international units per milliliter,Mean
3397,Count of Participants,Number
3398,ug/m^3,Mean
3399,drinks per day,Mean
3400,pg/mL,Geometric Mean
3401,Participants Oral Ulcers,Mean
3402,million sperm/ml,Mean
3403,Subjective Mood Score,Mean
3404,yards,Mean
3405,mg/gCR,Median
3406,deliveries,Mean
3407,ACT score,Mean
3408,Lesion Count,Mean
3409,kilogram per square meter,Mean
3410,Killograms,Mean
3411,Count of Events,Mean
3412,number of daily doses,Median
3413,Mets,Mean
3414,heavy drinking days / week,Mean
3415,Degrees centigrade,Median
3416,Beats per Minute (BPM),Mean
3417,units on a scale (total score),Mean
3418,ng/mL of blood,Median
3419,Lesions,Mean
3420,Percent/DCCT,Mean
3421,mg prednisolone or equivalent,Mean
3422,Liters/second,Mean
3423,YEAR OF AGE,Mean
3424,Unit on a scale,Mean
3425,kg/m 2,Mean
3426,kcal/day,Geometric Mean
3427,dose,Number
3428,kilograms/meter2,Mean
3429,units on a scale (0-100 pain scale),Mean
3430,C,Median
3431,drugs/participants,Mean
3432,logMAR line,Mean
3433,events/hour,Mean
3434,centimeters squared,Median
3435,incisors,Number
3436,units on a scale (6-40),Mean
3437,bowel movements,Mean
3438,percent of glycosylated hemoglobin,Median
3439,BMI Percentile,Median
3440,120 min*uU/mL,Mean
3441,milligram/liter,Median
3442,ng/dl,Number
3443,nanogram/milliliter (ng/mL),Mean
3444,Number of sex workers,Mean
3445,mL/min/1.73^2,Median
3446,millimeters squared (mm^2),Mean
3447,G/L,Mean
3448,mg per deciliter,Mean
3449,Age (years),Mean
3450,millimeteres (mm),Median
3451,injections (N subjects = 18),Mean
3452,percentage of days,Mean
3453,pg/mg creatinine,Median
3454,Percentage of maximum conductance,Mean
3455,scale score,Median
3456,lbs/inch^2,Median
3457,paarticipants,Number
3458,lesion counts,Mean
3459,falls per year,Mean
3460,percentage of methemoglobin,Mean
3461,Number of MDD Episodes,Mean
3462,% (of blood ejected from left ventricle),Mean
3463,pg/mL,Mean
3464,kilocalories/kilogram body mass/day,Mean
3465,millilitre(s),Mean
3466,Kilograms/Meters squared,Mean
3467,total metabolic equivalent,Mean
3468,number of blood glucose checks,Mean
3469,nanograms/milliliter (ng/mL),Mean
3470,C-ACT score,Mean
3471,copies/mL,Mean
3472,units on a scale,Median
3473,x 10^5 cells/mm^3,Mean
3474,MFI,Median
3475,minutes/night,Mean
3476,hr,Median
3477,cells/ul,Median
3478,awakenings,Mean
3479,Milligram per Deciliter (mg/dL),Mean
3480,nanogram per milliliter (ng/mL),Mean
3481,μg/L,Median
3482,% of beta cell function,Mean
3483,cells/high powered field,Number
3484,mg/kg body weight,Median
3485,kilograms/meters^2,Mean
3486,kg/m²,Mean
3487,Standard deviation score,Mean
3488,standard drinks,Mean
3489,milliliter per kilogram per minute,Mean
3490,Letters correctly read,Mean
3491,trips per month,Mean
3492,pound,Mean
3493,kg.,Mean
3494,Diopter,Mean
3495,% of lung function,Mean
3496,% of hemoglobin bound to glucose,Mean
3497,percentage of lymphocytes,Mean
3498,% of RBC in total blood volume,Mean
3499,percentage of glycated albumin,Mean
3500,nmol/L,Median
3501,meters/sec,Mean
3502,z-score,Mean
3503,million sperm/mL,Mean
3504,% (NGSP value),Mean
3505,Z score,Median
3506,number of C-sections,Mean
3507,%BSA,Mean
3508,casual partners,Median
3509,number participants,Number
3510,International Unit / Milliliter (IU/mL),Mean
3511,cm/H20,Mean
3512,Self-rated health scale (0-100)),Median
3513,Percentage of perdicted DLco,Mean
3514,% risk of mortality or morbidity,Mean
3515,units on a 100 mm visual analogue scale,Mean
3516,log(ng/mg protein),Mean
3517,µmol/L,Mean
3518,classes,Median
3519,mL/min/1.73^m2,Mean
3520,kg / m^2,Median
3521,ETDRS Letters,Mean
3522,year old,Mean
3523,mcg/dL,Mean
3524,Milliliter (mL)/ minute (min),Mean
3525,urgency incontinence episodes,Mean
3526,log 10 copies/ml,Median
3527,units,Number
3528,Percentage of Coefficient of variability,Mean
3529,l/min/m^2,Mean
3530,Lines of Therapy,Number
3531,score on scale,Mean
3532,kg/m squared,Mean
3533,urgency episodes/24 hours,Mean
3534,number of medications,Number
3535,millimeters of mercury (mmHg),Median
3536,units on a scale (1-5),Mean
3537,seconds,Median
3538,Number of occurrences,Mean
3539,Months,Number
3540,gram per meter to the power 2.7(g/m^2.7),Mean
3541,LIters (L),Mean
3542,Arbitrary Units,Mean
3543,mlU/ml,Mean
3544,patient participants,Number
3545,Months,Geometric Mean
3546,Non-white or Hispanic participants,Number
3547,dyn*sec/cm^-5,Median
3548,particpants,Number
3549,Percentage of Predicted DLCO,Mean
3550,Years (IQR),Mean
3551,MMSE score,Mean
3552,units per liter (U/L),Mean
3553,probability of effusion,Mean
3554,Units (IU),Mean
3555,biopsies,Median
3556,cases,Median
3557,Kilograms/squared meters,Mean
3558,Centimeters (cm),Mean
3559,Thousand cells / mm^3,Median
3560,% predicted value,Mean
3561,alcoholic drinks / week,Mean
3562,kg/m˄2,Mean
3563,injections,Geometric Mean
3564,Tumors,Number
3565,Liter,Mean
3566,pmol*hr/L,Mean
3567,10^-4 / pmol*l / min,Mean
3568,percent of total monocyte population,Mean
3569,percentage of total body weight,Mean
3570,drinks per drinking occasion,Mean
3571,Clinics,Count of Units
3572,log10 IU/mL,Mean
3573,kilogram per square meter (kg/m2),Mean
3574,Total cholesterol:HDL-C ratio,Mean
3575,Lesion,Mean
3576,urgency episodes per day,Mean
3577,Avg # of visits,Mean
3578,percent saturation,Mean
3579,weight (kg) / [height (m)]2,Mean
3580,percentage of normal,Mean
3581,percentage of predicted normal,Median
3582,nm BCE,Mean
3583,g/24 hour,Mean
3584,milligrams per liter (mg/L),Median
3585,Millimeters of mercury (mmHg),Mean
3586,gestational age in weeks at birth,Mean
3587,Meters,Mean
3588,Risk factors,Number
3589,kilogram per square meter,Median
3590,Sessions in last month,Mean
3591,Giga (10^9) cells per liter (Gi/L),Mean
3592,Perceived Exertion,Mean
3593,hounsfield units,Mean
3594,visits,Number
3595,average number of pain symptoms per day,Mean
3596,GRAMS,Mean
3597,Breath per minute,Mean
3598,Number of Patients,Number
3599,Cedis per month,Median
3600,standard deviation scores,Mean
3601,dB SPL,Mean
3602,mm,Geometric Mean
3603,cells per mm3,Mean
3604,ml/ sec,Mean
3605,mg/24hr,Mean
3606,(cells/mm^3),Median
3607,kilogram/M^2,Mean
3608,drinking days per week,Mean
3609,Thousand WBC/ microliter blood,Median
3610,cm2,Median
3611,mL/beat,Mean
3612,elbows,Number
3613,cell/mm^3,Mean
3614,Percentage of fat,Mean
3615,% modulation,Mean
3616,events/year,Mean
3617,events/hour,Median
3618,mIU/L,Mean
3619,log10 (IU/mL),Mean
3620,milli international units/ liter*minute,Mean
3621,time in milliseconds,Mean
3622,words per minute (wpm),Mean
3623,breaths/min,Mean
3624,μg/L,Mean
3625,lb,Mean
3626,gaps per patient-year,Mean
3627,Percent of BSA,Mean
3628,voids per night,Mean
3629,cells*1000/mm^3,Mean
3630,Randomized participants,Number
3631,ng/mL,Number
3632,centimetre,Mean
3633,mg/g creatinine,Median
3634,Participants,Median
3635,Minutes per week,Mean
3636,nanogram per milliliter,Mean
3637,arteries,Median
3638,gram per liter (g/L),Mean
3639,CM,Mean
3640,Incontinence Episodes/24 Hours,Mean
3641,Percent score of insulin resistance,Mean
3642,x 10^8 cells/kg,Mean
3643,standard uptake value ratio,Mean
3644,number of daily episodes,Mean
3645,Number of Stars Not Cancelled,Median
3646,Beta values,Mean
3647,percentage of lymphocytes,Median
3648,% of heartbeats,Mean
3649,Percent of spending,Mean
3650,international unit,Median
3651,% (of filtered phosphorus reabsorbed),Median
3652,percentage of ejected blood,Mean
3653,(u/L),Mean
3654,Units/ml,Median
3655,percent FEV1,Mean
3656,micromole/liter (mcmol/L),Mean
3657,Pregnancies,Mean
3658,log10 CFUs/g,Mean
3659,Avg score of 5 sx: 0=absent to 3=severe,Mean
3660,kgm^2,Mean
3661,number of oocytes,Mean
3662,log(mg/L),Geometric Mean
3663,"millimeter, mercury",Mean
3664,micrograms/gram feces,Mean
3665,percentage of truncal fat,Median
3666,mL/m^2,Mean
3667,yeas,Mean
3668,kilograms/(meter squared),Mean
3669,SBMs/week,Mean
3670,Diopters,Mean
3671,parts per million,Mean
3672,seconds of time,Mean
3673,liters in one second,Mean
3674,Pharmaceutical Agents,Mean
3675,Thousand Turkish liras,Mean
3676,QMG score,Mean
3677,kilogram/meter square^2 (kg/m^2),Mean
3678,Number of blisters,Number
3679,ml,Median
3680,days / month,Mean
3681,drugs,Median
3682,Percent [%],Mean
3683,kilograms,Median
3684,percent of glycated hemoglobin in blood,Mean
3685,calendar year,Mean
3686,digital ulcers,Mean
3687,picograms per milliliter (pg/mL),Mean
3688,%Gag-specific IL-2+ CD8+ T-cells,Median
3689,grams (g),Median
3690,Log10 IU/mL,Mean
3691,Age Continuous (years),Mean
3692,events per week,Mean
3693,micrometer,Mean
3694,nmol/liter,Median
3695,Percent of predicted normal,Mean
3696,Interventions/Procedures,Number
3697,Impacted Teeth,Mean
3698,kilogram,Mean
3699,mph,Mean
3700,percent scores on a scale,Mean
3701,10⁹ cells/L,Median
3702,joints,Mean
3703,milligrams per week (mg/wk),Mean
3704,cells*10^6/uL,Median
3705,Kg/cm^2,Mean
3706,(nmol/mL/h),Mean
3707,uIU ml^-1,Median
3708,cases,Count of Units
3709,joints,Number
3710,people per household,Mean
3711,RBC units,Mean
3712,DEB-TACE procedures,Number
3713,millions of sperm/milliliter (mil/mL),Mean
3714,MET units,Mean
3715,Scores of a scale,Mean
3716,Prior general anesthetics,Mean
3717,Log10 c/mL,Mean
3718,μIU/mL,Mean
3719,U/mL,Mean
3720,number of islet infusions,Median
3721,Points,Mean
3722,percentage of DLCO % predicted,Least Squares Mean
3723,Number of teeth,Number
3724,Score,Mean
3725,IU/mL,Median
3726,Total Mayo Score,Mean
3727,co-morbidities,Mean
3728,number,Mean
3729,mg/min/120min,Mean
3730,log(Episodes/hour),Mean
3731,Square meters,Mean
3732,percentage of HbA1c,Mean
3733,percent of predicted,Mean
3734,months,Geometric Mean
3735,mg/kg2,Mean
3736,degree,Mean
3737,Percentage of Glycosylated Hemoglobin,Mean
3738,micturitions in 24 hours (M24MIC),Mean
3739,Unit of UPDRS scales,Mean
3740,FV portions per day,Mean
3741,surgeries,Median
3742,milliliter (mL) /minutes (min) /1.73m²,Mean
3743,Probability percentage,Mean
3744,mmol,Mean
3745,µg/mL,Mean
3746,Current,Number
3747,hour*milligram per deciliter (h*mg/dL),Mean
3748,kilocalories per week,Mean
3749,Relapses,Mean
3750,number of metastatic sites per location,Number
3751,Percent (%) glycosylated haemoglobin,Mean
3752,% Lean mass,Mean
3753,percentage of total sleep time,Mean
3754,Count per 1000 cells/µL,Mean
3755,68,Mean
3756,ng/L,Mean
3757,mg/dl. min,Mean
3758,Percent times Minutes,Mean
3759,% of cells,Mean
3760,Percent of HbA1c,Mean
3761,mmHG,Mean
3762,Square of meter,Median
3763,percent predicted of FEV1,Mean
3764,Percent of hemoglobin,Mean
