Index,NCTId,Condition,Change,Reference,Variable,Timepoint,Endpoint Art
495,NCT04975113,"Patellofemoral Pain Syndrome, Kinesiotape, Exercise, Strength",Nan,Not Mentioned,Not Mentioned,Nan,Secondary Endpoint
496,NCT04975048,"Healthy, Gen1 Gene Mutation",Not Mentioned,Not Mentioned,"Serum Lipids, Changes","Week 0, Week 4, Week 8, Week 16",Primary Endpoint
497,NCT04975048,"Healthy, Gen1 Gene Mutation",Nan,Not Mentioned,Not Mentioned,Nan,Secondary Endpoint
498,NCT04975022,"Pk, Pd, And Safety",Not Mentioned,Not Mentioned,Not Mentioned,"Pre-Dose, 5,10,20,30,40,50,60,75,90,105,120,150,180,210,240,270,300, 330,360,420,480 Minutes；",Primary Endpoint
499,NCT04975022,"Pk, Pd, And Safety",Auc 0,Not Mentioned,Not Mentioned,"Pre-Dose, 5,10,20,30,45,10,20,30,40,50,60,75,90,105,120,150,180,210,240,270,300, 330,360,420,480 Minutes；",Primary Endpoint
500,NCT04975022,"Pk, Pd, And Safety",Not Mentioned,Not Mentioned,Not Mentioned,"Pre-Dose, 0-8 Hours",Primary Endpoint
501,NCT04975022,"Pk, Pd, And Safety",Not Mentioned,Not Mentioned,Tmax,"Pre-Dose, 5,10,20,30,40,50,60,75,90,105,120,150,180,210,240,270,300,330,360,420,480 Minutes；",Secondary Endpoint
502,NCT04975022,"Pk, Pd, And Safety",Auc 0,Not Mentioned,Not Mentioned,"Pre-Dose, 5,10,20,30,40,50,60,75,90,105,120 Minutes",Secondary Endpoint
503,NCT04975022,"Pk, Pd, And Safety",Not Mentioned,Not Mentioned,Elimination Half-Life (T1/2),"Pre-Dose, 5,10,20,30,40,50,60,75,90,105,120,150,180,210,240,270,300, 330,360,420,480 Minutes；",Secondary Endpoint
504,NCT04975022,"Pk, Pd, And Safety",The Auc,Not Mentioned,Not Mentioned,4 H,Secondary Endpoint
505,NCT04975022,"Pk, Pd, And Safety",The Auc,Not Mentioned,Not Mentioned,"Pre-Dose, 5,10,20,30,45,10,20,30,40,50,60,75,90,105,120,150,180,210,240,270,300, 330,360,420,480 Minutes；",Secondary Endpoint
506,NCT04975022,"Pk, Pd, And Safety",Aucgir，0-2 H,Not Mentioned,Not Mentioned,"Pre-Dose, 0-2 Hours",Secondary Endpoint
507,NCT04975022,"Pk, Pd, And Safety",Aucgir，0-4 H,Not Mentioned,Not Mentioned,"Pre-Dose, 0-4 Hours",Secondary Endpoint
508,NCT04975022,"Pk, Pd, And Safety",Not Mentioned,Not Mentioned,Tgirmax,"Pre-Dose, 0-8 Hours",Secondary Endpoint
509,NCT04974983,"Glioblastoma, Angiogenesis",Functional Outcome,Not Mentioned,Not Mentioned,15 Months,Primary Endpoint
510,NCT04974983,"Glioblastoma, Angiogenesis",Nan,Not Mentioned,Not Mentioned,Nan,Secondary Endpoint
